"","sssdistrict","ssslong","ssslat"
"1","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"2","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"3","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"5","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"6","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"7","Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"8","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"9","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"10","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"11","Akwapim South (Nsawam)",-0.268249362707138,5.82600259780884
"12","Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"13","Kumasi Metro",-1.59718716144562,6.68205976486206
"14","Accra Metropolitan",-0.197115257382393,5.6073956489563
"15","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"16","Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"17","Kwaebibirem (Kade)",-0.799037277698517,6.13331890106201
"18","Akwapim South (Nsawam)",-0.268249362707138,5.82600259780884
"19","Kumasi Metro",-1.59718716144562,6.68205976486206
"20","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"21","Akwapim South (Nsawam)",-0.268249362707138,5.82600259780884
"22","Kwaebibirem (Kade)",-0.799037277698517,6.13331890106201
"23","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"24","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"25","Kumasi Metro",-1.59718716144562,6.68205976486206
"26","Kumasi Metro",-1.59718716144562,6.68205976486206
"27","Accra Metropolitan",-0.197115257382393,5.6073956489563
"28","Accra Metropolitan",-0.197115257382393,5.6073956489563
"29","Accra Metropolitan",-0.197115257382393,5.6073956489563
"30","Kwaebibirem (Kade)",-0.799037277698517,6.13331890106201
"31","Kumasi Metro",-1.59718716144562,6.68205976486206
"32","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"33","Accra Metropolitan",-0.197115257382393,5.6073956489563
"34","Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"35","Kumasi Metro",-1.59718716144562,6.68205976486206
"36","Kumasi Metro",-1.59718716144562,6.68205976486206
"37","Akwapim South (Nsawam)",-0.268249362707138,5.82600259780884
"38","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"39","Sunyani",-2.3274233341217,7.34467792510986
"40","Kumasi Metro",-1.59718716144562,6.68205976486206
"41","New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
